139443 [0, 4, 0, 6] 4 [0, 2]|Found route: [POIs: (840, 139330, restaurant, 0.5383858175024626), (3312, 139296, pharmacy, 0.16554107566978135), (1, 139337, restaurant, 0.0828622710566418), (4414, 139471, gas_station, 0.24937157401527585), Length: 1.0361607382441615, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 103 ms|Time for KNN: 102 ms|Heap fetches: 117|Max heap size: 112
214344 [2, 1, 0, 2] 4 [0, 3]|Found route: [POIs: (2439, 218061, atm_bank, 1.8735977173674894), (1973, 218109, coffee_shop, 0.1271074789178657), (1973, 218109, restaurant, 0.0), (2602, 218113, atm_bank, 0.027898696113621696), Length: 2.028603892398977, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 16 ms|Time for KNN: 15 ms|Heap fetches: 14|Max heap size: 14
54444 [2, 6, 0, 6] 4 [1, 3]|Found route: [POIs: (2176, 54934, atm_bank, 1.035031924893846), (4500, 54530, gas_station, 0.9659942043234437), (340, 56943, restaurant, 0.5659950209210313), (4401, 55518, gas_station, 0.219119750717952), Length: 2.7861409008562728, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 88 ms|Time for KNN: 88 ms|Heap fetches: 53|Max heap size: 49
199620 [1, 3, 3, 1] 4 [0, 3]|Found route: [POIs: (1470, 201830, coffee_shop, 0.6119503251808804), (2681, 204019, movie_theater, 2.5631824714032865), (2681, 204019, movie_theater, 0.0), (1353, 204957, coffee_shop, 0.7194407773268338), Length: 3.894573573911001, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 379 ms|Time for KNN: 378 ms|Heap fetches: 26|Max heap size: 26
54174 [5, 0, 6, 5] 4 [0, 3]|Found route: [POIs: (3943, 57254, pub_bar, 2.4992038121172433), (1542, 58233, restaurant, 0.27017719142911745), (4530, 57523, gas_station, 0.6743998233464015), (3705, 57548, pub_bar, 0.35192732338636146), Length: 3.7957081502791237, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 242 ms|Time for KNN: 241 ms|Heap fetches: 202|Max heap size: 202
408347 [1, 6, 3, 6] 4 [1, 3]|Found route: [POIs: (1592, 396139, coffee_shop, 3.394739383620503), (4512, 396772, gas_station, 0.8708305641758215), (2697, 335053, movie_theater, 2.0474022755066197), (4385, 335934, gas_station, 1.5872667020738536), Length: 7.900238925376798, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 8678 ms|Time for KNN: 8676 ms|Heap fetches: 592|Max heap size: 562
276470 [6, 0, 1, 0] 4 [1, 3]|Found route: [POIs: (4526, 276863, gas_station, 2.017041782984025), (856, 275461, restaurant, 1.0323585617693136), (857, 275287, coffee_shop, 0.21362678086330406), (857, 275287, restaurant, 0.0), Length: 3.2630271256166425, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 24 ms|Time for KNN: 24 ms|Heap fetches: 19|Max heap size: 17
45051 [2, 1, 1, 1] 4 [1, 3]|Found route: [POIs: (2526, 11232, atm_bank, 5.286095804629218), (189, 11395, coffee_shop, 0.09695155607146401), (530, 11365, coffee_shop, 0.09708787209622839), (530, 11365, coffee_shop, 0.0), Length: 5.48013523279691, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 38 ms|Time for KNN: 38 ms|Heap fetches: 24|Max heap size: 12
302916 [4, 3, 6, 4] 4 [0, 3]|Found route: [POIs: (3029, 302296, pharmacy, 1.6976502877680972), (2766, 299340, movie_theater, 0.892284865627178), (4504, 300118, gas_station, 0.6987127640741865), (2849, 300028, pharmacy, 0.12008604670393222), Length: 3.4087339641733942, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 311 ms|Time for KNN: 310 ms|Heap fetches: 110|Max heap size: 110
129397 [3, 2, 0, 2] 4 [1, 3]|Found route: [POIs: (2719, 126838, movie_theater, 3.45218126146911), (2194, 126506, atm_bank, 0.3941833179507811), (131, 126506, restaurant, 0.0), (2193, 126506, atm_bank, 0.0), Length: 3.846364579419891, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 85 ms|Time for KNN: 85 ms|Heap fetches: 15|Max heap size: 12
