Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
279388 [6, 6, 6, 6, 4] 5 [0, 2]|PNE route: [POIs: (4441, 272791, gas_station, 0.849559149926702), (4441, 272791, gas_station, 0.0), (4441, 272791, gas_station, 0.0), (4441, 272791, gas_station, 0.0), (2854, 272358, pharmacy, 0.3332147365858877), Length: 1.1827738865125896, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4441, 272791, gas_station, 0.849559149926702), (4441, 272791, gas_station, 0.0), (4441, 272791, gas_station, 0.0), (4441, 272791, gas_station, 0.0), (2854, 272358, pharmacy, 0.3332147365858877), Length: 1.1827738865125896, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 92 ms|Time for PNE: 11 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
319492 [1, 3, 2, 2, 2] 5 [2, 4]|PNE route: [POIs: (705, 325300, coffee_shop, 1.3267658085534948), (2785, 325286, movie_theater, 0.07008033534712503), (2113, 325106, atm_bank, 0.253616547642387), (2113, 325106, atm_bank, 0.0), (2113, 325106, atm_bank, 0.0), Length: 1.650462691543007, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (705, 325300, coffee_shop, 1.3267658085534948), (2785, 325286, movie_theater, 0.07008033534712503), (2113, 325106, atm_bank, 0.253616547642387), (2113, 325106, atm_bank, 0.0), (2113, 325106, atm_bank, 0.0), Length: 1.650462691543007, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 129 ms|Time for PNE: 48 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
192003 [3, 5, 3, 3, 6] 5 [0, 2]|PNE route: [POIs: (2797, 57488, movie_theater, 4.764599375723121), (3575, 57583, pub_bar, 0.059905944472052), (2797, 57488, movie_theater, 0.059905944472052), (2797, 57488, movie_theater, 0.0), (4530, 57523, gas_station, 0.7514999452934655), Length: 5.635911209960691, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2797, 57488, movie_theater, 4.764599375723121), (3575, 57583, pub_bar, 0.059905944472052), (2797, 57488, movie_theater, 0.059905944472052), (2797, 57488, movie_theater, 0.0), (4530, 57523, gas_station, 0.7514999452934655), Length: 5.635911209960691, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1331 ms|Time for PNE: 1250 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
278246 [1, 0, 6, 1, 5] 5 [0, 3]|PNE route: [POIs: (1431, 354456, coffee_shop, 0.3236051161392018), (1431, 354456, restaurant, 0.0), (4430, 354980, gas_station, 1.0740300530173381), (1744, 354989, coffee_shop, 0.9487688112355294), (3438, 355732, pub_bar, 0.2618233305749241), Length: 2.608227310966993, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1431, 354456, coffee_shop, 0.3236051161392018), (1431, 354456, restaurant, 0.0), (4430, 354980, gas_station, 1.0740300530173381), (1431, 354456, coffee_shop, 1.0740300530173388), (4217, 278353, pub_bar, 0.3522413316671855), Length: 2.823906553841064, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 303675 ms|Time for PNE: 680 ms|Time for KNN: 953 ms|Time for Dijkstra: 301956 ms|Heap fetches: 358|Max heap size: 324
212917 [2, 6, 5, 1, 6] 5 [1, 4]|PNE route: [POIs: (2125, 212515, atm_bank, 0.6947483289313979), (4412, 210654, gas_station, 0.46314174590838086), (4011, 210824, pub_bar, 0.7458718811944473), (1805, 211869, coffee_shop, 2.3159832399126348), (4438, 194897, gas_station, 1.0646313453130989), Length: 5.284376541259961, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2125, 212515, atm_bank, 0.6947483289313979), (4412, 210654, gas_station, 0.46314174590838086), (4011, 210824, pub_bar, 0.7458718811944473), (704, 210325, coffee_shop, 2.2062161648108956), (4412, 210654, gas_station, 1.49688064768836), Length: 5.606858768533482, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 22310 ms|Time for PNE: 152 ms|Time for KNN: 263 ms|Time for Dijkstra: 21813 ms|Heap fetches: 63|Max heap size: 48
301002 [0, 3, 0, 1, 0] 5 [0, 2]|PNE route: [POIs: (1656, 301002, restaurant, 0.0), (2805, 300277, movie_theater, 0.26943363772469914), (1763, 300277, restaurant, 0.0), (1763, 300277, coffee_shop, 0.0), (1763, 300277, restaurant, 0.0), Length: 0.26943363772469914, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1763, 300277, restaurant, 0.26943363772469914), (2805, 300277, movie_theater, 0.0), (1763, 300277, restaurant, 0.0), (1763, 300277, coffee_shop, 0.0), (1763, 300277, restaurant, 0.0), Length: 0.26943363772469914, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 23762 ms|Time for PNE: 21 ms|Time for KNN: 18 ms|Time for Dijkstra: 23642 ms|Heap fetches: 28|Max heap size: 25
44901 [0, 1, 0, 1, 3] 5 [0, 2]|PNE route: [POIs: (11, 95231, restaurant, 7.280098286957127), (11, 95231, coffee_shop, 0.0), (11, 95231, restaurant, 0.0), (11, 95231, coffee_shop, 0.0), (2682, 95231, movie_theater, 0.0), Length: 7.280098286957127, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (11, 95231, restaurant, 7.280098286957127), (11, 95231, coffee_shop, 0.0), (11, 95231, restaurant, 0.0), (11, 95231, coffee_shop, 0.0), (2682, 95231, movie_theater, 0.0), Length: 7.280098286957127, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1189 ms|Time for PNE: 1109 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
31249 [6, 6, 6, 3, 4] 5 [0, 2]|PNE route: [POIs: (4515, 252558, gas_station, 4.703992674267356), (4515, 252558, gas_station, 0.0), (4515, 252558, gas_station, 0.0), (2722, 255396, movie_theater, 1.1787468220398007), (3139, 255317, pharmacy, 0.10573747072833585), Length: 5.988476967035493, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4515, 252558, gas_station, 4.703992674267356), (4515, 252558, gas_station, 0.0), (4515, 252558, gas_station, 0.0), (2722, 255396, movie_theater, 1.1787468220398007), (3139, 255317, pharmacy, 0.10573747072833585), Length: 5.988476967035493, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1415 ms|Time for PNE: 1335 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
30881 [6, 2, 2, 1, 2] 5 [2, 4]|PNE route: [POIs: (4462, 25078, gas_station, 1.2839423420079719), (2207, 25336, atm_bank, 0.44582053950128486), (2207, 25336, atm_bank, 0.0), (165, 25405, coffee_shop, 0.19259993071406856), (2207, 25336, atm_bank, 0.19259993071406856), Length: 2.1149627429373936, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4462, 25078, gas_station, 1.2839423420079719), (2207, 25336, atm_bank, 0.44582053950128486), (2207, 25336, atm_bank, 0.0), (165, 25405, coffee_shop, 0.19259993071406856), (2207, 25336, atm_bank, 0.19259993071406856), Length: 2.1149627429373936, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 106 ms|Time for PNE: 26 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
184429 [1, 1, 1, 6, 5] 5 [0, 2]|PNE route: [POIs: (135, 166499, coffee_shop, 1.8342136167176375), (135, 166499, coffee_shop, 0.0), (135, 166499, coffee_shop, 0.0), (4524, 166237, gas_station, 0.4556766067832244), (4017, 165507, pub_bar, 0.3632666578635679), Length: 2.65315688136443, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (135, 166499, coffee_shop, 1.8342136167176375), (135, 166499, coffee_shop, 0.0), (135, 166499, coffee_shop, 0.0), (4524, 166237, gas_station, 0.4556766067832244), (4017, 165507, pub_bar, 0.3632666578635679), Length: 2.65315688136443, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 81985 ms|Time for PNE: 81905 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
