Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
50516 [0, 3, 2, 0, 2] 5 [0, 3]|PNE route: [POIs: (1293, 55394, restaurant, 2.1738750344110302), (2782, 56332, movie_theater, 0.8484283160859728), (2281, 57455, atm_bank, 0.15196872269083628), (1439, 57455, restaurant, 0.0), (2281, 57455, atm_bank, 0.0), Length: 3.174272073187839, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1439, 57455, restaurant, 3.1742720731878387), (2797, 57488, movie_theater, 0.06412075298050063), (2281, 57455, atm_bank, 0.06412075298050063), (1439, 57455, restaurant, 0.0), (2281, 57455, atm_bank, 0.0), Length: 3.30251357914884, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 41565 ms|Time for PNE: 217 ms|Time for KNN: 102 ms|Time for Dijkstra: 40944 ms|Heap fetches: 46|Max heap size: 24
401697 [5, 1, 5, 4, 5] 5 [0, 2]|PNE route: [POIs: (4262, 401591, pub_bar, 0.5950401255389514), (1572, 335836, coffee_shop, 1.5100459547399092), (3456, 335308, pub_bar, 0.4628859866033759), (3130, 335370, pharmacy, 0.11225411363881489), (3456, 335308, pub_bar, 0.11225411363881489), Length: 2.7924802941598665, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3456, 335308, pub_bar, 1.7922737531011823), (1573, 395633, coffee_shop, 0.4562147896938009), (3456, 335308, pub_bar, 0.456214789693801), (3130, 335370, pharmacy, 0.11225411363881489), (3456, 335308, pub_bar, 0.11225411363881489), Length: 2.929211559766414, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 74470 ms|Time for PNE: 350 ms|Time for KNN: 198 ms|Time for Dijkstra: 73595 ms|Heap fetches: 177|Max heap size: 140
285489 [0, 6, 5, 0, 2] 5 [0, 3]|PNE route: [POIs: (1427, 286596, restaurant, 1.6235156918048748), (4476, 286587, gas_station, 0.07397523356485194), (4217, 278353, pub_bar, 7.098650764907121), (1231, 278035, restaurant, 0.3162984073649667), (2550, 354297, atm_bank, 0.15050924863616863), Length: 9.262949346277983, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1431, 354456, restaurant, 8.331239945726697), (4430, 354980, gas_station, 1.0740300530173381), (4217, 278353, pub_bar, 1.4262713846845247), (1431, 354456, restaurant, 0.35224133166718546), (2550, 354297, atm_bank, 0.1521841887648403), Length: 11.335966903860585, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 251575 ms|Time for PNE: 352 ms|Time for KNN: 1669 ms|Time for Dijkstra: 249261 ms|Heap fetches: 877|Max heap size: 751
236414 [6, 0, 2, 5, 0] 5 [1, 4]|PNE route: [POIs: (4445, 237271, gas_station, 1.6382143624876384), (901, 237040, restaurant, 0.4916089169662909), (2180, 237046, atm_bank, 0.043491739193182735), (4027, 237046, pub_bar, 0.0), (901, 237040, restaurant, 0.04349173919318273), Length: 2.2168067578402946, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4445, 237271, gas_station, 1.6382143624876384), (901, 237040, restaurant, 0.4916089169662909), (2180, 237046, atm_bank, 0.043491739193182735), (4027, 237046, pub_bar, 0.0), (901, 237040, restaurant, 0.04349173919318273), Length: 2.2168067578402946, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 200 ms|Time for PNE: 71 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
125605 [6, 1, 0, 3, 1] 5 [1, 4]|PNE route: [POIs: (4420, 137167, gas_station, 2.185383412864256), (1045, 127199, coffee_shop, 0.5382191789895102), (1045, 127199, restaurant, 0.0), (2762, 127199, movie_theater, 0.0), (1045, 127199, coffee_shop, 0.0), Length: 2.723602591853766, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4420, 137167, gas_station, 2.185383412864256), (1045, 127199, coffee_shop, 0.5382191789895102), (1045, 127199, restaurant, 0.0), (2762, 127199, movie_theater, 0.0), (1045, 127199, coffee_shop, 0.0), Length: 2.723602591853766, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1185 ms|Time for PNE: 1057 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
371728 [1, 1, 5, 1, 0] 5 [1, 3]|PNE route: [POIs: (1220, 382505, coffee_shop, 1.8449355922679984), (1220, 382505, coffee_shop, 0.0), (3950, 382508, pub_bar, 0.034411193095483135), (1220, 382505, coffee_shop, 0.034411193095483135), (1220, 382505, restaurant, 0.0), Length: 1.9137579784589647, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1220, 382505, coffee_shop, 1.8449355922679984), (1220, 382505, coffee_shop, 0.0), (3950, 382508, pub_bar, 0.034411193095483135), (1220, 382505, coffee_shop, 0.034411193095483135), (1220, 382505, restaurant, 0.0), Length: 1.9137579784589647, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 185 ms|Time for PNE: 57 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
161419 [3, 0, 5, 0, 2] 5 [1, 3]|PNE route: [POIs: (2742, 144082, movie_theater, 2.8396909759852087), (1085, 144161, restaurant, 0.08515328480881201), (3461, 144161, pub_bar, 0.0), (1085, 144161, restaurant, 0.0), (2327, 144063, atm_bank, 0.28225018164739757), Length: 3.2070944424414183, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2742, 144082, movie_theater, 2.8396909759852087), (1085, 144161, restaurant, 0.08515328480881201), (3461, 144161, pub_bar, 0.0), (1085, 144161, restaurant, 0.0), (2327, 144063, atm_bank, 0.28225018164739757), Length: 3.2070944424414183, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1683 ms|Time for PNE: 1555 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
311549 [1, 0, 0, 4, 1] 5 [0, 4]|PNE route: [POIs: (37, 309860, coffee_shop, 1.5494663551224506), (37, 309860, restaurant, 0.0), (37, 309860, restaurant, 0.0), (3105, 309860, pharmacy, 0.0), (37, 309860, coffee_shop, 0.0), Length: 1.5494663551224506, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (37, 309860, coffee_shop, 1.5494663551224506), (37, 309860, restaurant, 0.0), (37, 309860, restaurant, 0.0), (3105, 309860, pharmacy, 0.0), (37, 309860, coffee_shop, 0.0), Length: 1.5494663551224506, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 144 ms|Time for PNE: 17 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
205718 [0, 3, 1, 2, 1] 5 [2, 4]|PNE route: [POIs: (413, 204019, restaurant, 0.8239446443467696), (2681, 204019, movie_theater, 0.0), (1353, 204957, coffee_shop, 0.7194407773268338), (2169, 204957, atm_bank, 0.0), (1353, 204957, coffee_shop, 0.0), Length: 1.5433854216736034, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (413, 204019, restaurant, 0.8239446443467696), (2681, 204019, movie_theater, 0.0), (1353, 204957, coffee_shop, 0.7194407773268338), (2169, 204957, atm_bank, 0.0), (1353, 204957, coffee_shop, 0.0), Length: 1.5433854216736034, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 1275 ms|Time for PNE: 1067 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
422014 [0, 2, 4, 2, 0] 5 [0, 4]|PNE route: [POIs: (1742, 423339, restaurant, 0.4439103132585007), (2617, 423478, atm_bank, 0.7766941640242413), (2901, 423942, pharmacy, 0.28961104793046566), (2617, 423478, atm_bank, 0.28961104793046566), (1743, 423483, restaurant, 0.12066875405595148), Length: 1.9204953271996248, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1743, 423483, restaurant, 1.278176072253798), (2617, 423478, atm_bank, 0.12066875405595148), (2901, 423942, pharmacy, 0.28961104793046566), (2617, 423478, atm_bank, 0.28961104793046566), (1743, 423483, restaurant, 0.12066875405595148), Length: 2.0987356762266325, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 57265 ms|Time for PNE: 177 ms|Time for KNN: 163 ms|Time for Dijkstra: 56770 ms|Heap fetches: 34|Max heap size: 11
