Query|PNE_route|Route|Time|Time_PNE|Time_KNN|Time_Dijkstra|Heap_fetches|Heap_max_size
58553 [4, 0, 4, 3, 4] 5 [0, 2]|PNE route: [POIs: (3196, 58233, pharmacy, 9.98717057574296), (1542, 58233, restaurant, 0.0), (2879, 57953, pharmacy, 0.622295172094871), (2692, 57721, movie_theater, 0.5366837570980344), (2877, 57741, pharmacy, 0.1555331220499723), Length: 11.301682626985837, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3196, 58233, pharmacy, 9.98717057574296), (1542, 58233, restaurant, 0.0), (3196, 58233, pharmacy, 0.0), (2692, 57721, movie_theater, 1.1589789291929056), (2877, 57741, pharmacy, 0.1555331220499723), Length: 11.301682626985837, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 66182 ms|Time for PNE: 1735 ms|Time for KNN: 238 ms|Time for Dijkstra: 63915 ms|Heap fetches: 70|Max heap size: 11
325298 [4, 2, 2, 3, 4] 5 [0, 4]|PNE route: [POIs: (3258, 325674, pharmacy, 0.26824044873483), (2448, 325674, atm_bank, 0.0), (2448, 325674, atm_bank, 0.0), (2686, 325579, movie_theater, 0.26077844206694767), (3258, 325674, pharmacy, 0.2607784420669476), Length: 0.7897973328687253, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3258, 325674, pharmacy, 0.26824044873483), (2448, 325674, atm_bank, 0.0), (2448, 325674, atm_bank, 0.0), (2686, 325579, movie_theater, 0.26077844206694767), (3258, 325674, pharmacy, 0.2607784420669476), Length: 0.7897973328687253, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 573 ms|Time for PNE: 444 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
147899 [2, 2, 1, 1, 2] 5 [1, 4]|PNE route: [POIs: (2558, 144171, atm_bank, 0.9635887539078908), (2558, 144171, atm_bank, 0.0), (225, 144280, coffee_shop, 0.05796194431296289), (225, 144280, coffee_shop, 0.0), (2558, 144171, atm_bank, 0.05796194431296289), Length: 1.0795126425338166, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2558, 144171, atm_bank, 0.9635887539078908), (2558, 144171, atm_bank, 0.0), (225, 144280, coffee_shop, 0.05796194431296289), (225, 144280, coffee_shop, 0.0), (2558, 144171, atm_bank, 0.05796194431296289), Length: 1.0795126425338166, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 155 ms|Time for PNE: 28 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
426645 [2, 0, 2, 5, 4] 5 [0, 2]|PNE route: [POIs: (2130, 290109, atm_bank, 3.9925674996639557), (221, 290088, restaurant, 0.10163300177799169), (2130, 290109, atm_bank, 0.10163300177799169), (4220, 288331, pub_bar, 2.7780050002910777), (2872, 289298, pharmacy, 1.8586932837729728), Length: 8.83253178728399, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2130, 290109, atm_bank, 3.9925674996639557), (221, 290088, restaurant, 0.10163300177799169), (2130, 290109, atm_bank, 0.10163300177799169), (4220, 288331, pub_bar, 2.7780050002910777), (2872, 289298, pharmacy, 1.8586932837729728), Length: 8.83253178728399, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 677 ms|Time for PNE: 549 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
200668 [1, 4, 6, 3, 4] 5 [1, 4]|PNE route: [POIs: (1470, 201830, coffee_shop, 0.5004957173503946), (2831, 222384, pharmacy, 0.6795834487672311), (4372, 207476, gas_station, 1.5899828524795503), (2681, 204019, movie_theater, 1.6150008742597177), (3112, 203816, pharmacy, 0.2841261054498878), Length: 4.669188998306781, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (1378, 204958, coffee_shop, 2.822179978143301), (3304, 204958, pharmacy, 0.0), (4496, 205493, gas_station, 0.7277781312112687), (2681, 204019, movie_theater, 1.4947090796461149), (3304, 204958, pharmacy, 0.7669309484348465), Length: 5.8115981374355306, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 894725 ms|Time for PNE: 3694 ms|Time for KNN: 12884 ms|Time for Dijkstra: 877975 ms|Heap fetches: 627|Max heap size: 162
371724 [4, 0, 2, 3, 2] 5 [2, 4]|PNE route: [POIs: (3337, 369660, pharmacy, 1.588636434024522), (228, 369962, restaurant, 0.14820936118653044), (2306, 369671, atm_bank, 0.3453897112371558), (2699, 370865, movie_theater, 0.9238353130548467), (2306, 369671, atm_bank, 0.923835313054847), Length: 3.929906132557902, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3337, 369660, pharmacy, 1.588636434024522), (228, 369962, restaurant, 0.14820936118653044), (2306, 369671, atm_bank, 0.3453897112371558), (2699, 370865, movie_theater, 0.9238353130548467), (2306, 369671, atm_bank, 0.923835313054847), Length: 3.929906132557902, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 4552 ms|Time for PNE: 4424 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
201752 [6, 2, 0, 2, 0] 5 [1, 3]|PNE route: [POIs: (4372, 207476, gas_station, 0.8710824643290561), (2157, 203948, atm_bank, 1.7974194218221127), (1158, 203948, restaurant, 0.0), (2157, 203948, atm_bank, 0.0), (1158, 203948, restaurant, 0.0), Length: 2.668501886151169, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (4372, 207476, gas_station, 0.8710824643290561), (2157, 203948, atm_bank, 1.7974194218221127), (1158, 203948, restaurant, 0.0), (2157, 203948, atm_bank, 0.0), (1158, 203948, restaurant, 0.0), Length: 2.668501886151169, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 519 ms|Time for PNE: 390 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
26888 [4, 4, 5, 2, 4] 5 [1, 4]|PNE route: [POIs: (2950, 25338, pharmacy, 1.6774057986116788), (2950, 25338, pharmacy, 0.0), (3829, 25335, pub_bar, 0.03852044085767435), (2207, 25336, atm_bank, 0.08356827735570849), (2950, 25338, pharmacy, 0.045047836498034136), Length: 1.8445423533230958, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2950, 25338, pharmacy, 1.6774057986116788), (2950, 25338, pharmacy, 0.0), (3829, 25335, pub_bar, 0.03852044085767435), (2207, 25336, atm_bank, 0.08356827735570849), (2950, 25338, pharmacy, 0.045047836498034136), Length: 1.8445423533230958, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 192 ms|Time for PNE: 83 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
377924 [5, 1, 2, 3, 2] 5 [2, 4]|PNE route: [POIs: (3528, 378567, pub_bar, 0.918495352060006), (76, 378423, coffee_shop, 0.10663268590080556), (2580, 375038, atm_bank, 0.9662389985675243), (2683, 375297, movie_theater, 0.3786898813382562), (2580, 375038, atm_bank, 0.37868988133825615), Length: 2.7487467992048487, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (3528, 378567, pub_bar, 0.918495352060006), (76, 378423, coffee_shop, 0.10663268590080556), (2580, 375038, atm_bank, 0.9662389985675243), (2683, 375297, movie_theater, 0.3786898813382562), (2580, 375038, atm_bank, 0.37868988133825615), Length: 2.7487467992048487, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 881 ms|Time for PNE: 772 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
409313 [2, 4, 2, 4, 1] 5 [0, 2]|PNE route: [POIs: (2425, 407484, atm_bank, 2.1786620665996734), (3245, 407259, pharmacy, 0.3027572695435113), (2425, 407484, atm_bank, 0.3027572695435113), (3243, 407674, pharmacy, 0.48857764343805393), (792, 424417, coffee_shop, 1.4282670928211758), Length: 4.701021341945926, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Found route: [POIs: (2425, 407484, atm_bank, 2.1786620665996734), (3245, 407259, pharmacy, 0.3027572695435113), (2425, 407484, atm_bank, 0.3027572695435113), (3243, 407674, pharmacy, 0.48857764343805393), (792, 424417, coffee_shop, 1.4282670928211758), Length: 4.701021341945926, Heuristic: 0.0, Cat unordered: [], Counter: 0]|Time: 455 ms|Time for PNE: 346 ms|Time for KNN: 0 ms|Time for Dijkstra: 0 ms|Heap fetches: 0|Max heap size: 0
