POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
256,13.197328,52.524117,12901,0.789
257,13.4407,52.516403,333403,0.414
258,13.37768,52.456078,371920,0.854
259,13.488468,52.512547,379130,0.334
260,13.416855,52.572136,337398,0.82
261,13.474514,52.514393,270651,0.537
262,13.342405,52.498737,38170,0.205
263,13.3796425,52.455902,371916,0.477
264,13.603384,52.53647,478165,0.512
265,13.605482,52.537388,208878,0.502
266,13.432287,52.516544,397019,0.582
267,13.261218,52.44444,20966,0.766
268,13.430551,52.468338,140358,0.045
269,13.429087,52.50218,342356,0.598
270,13.466064,52.485718,228271,0.688
271,13.5617695,52.401073,188912,0.14
272,13.382582,52.591923,173423,0.516
273,13.145652,52.41575,4451,0.873
274,13.485705,52.464233,469731,0.129
275,13.434669,52.484585,267314,0.658
276,13.383524,52.494354,149765,0.282
277,13.435071,52.46018,440707,0.174
278,13.281193,52.477375,428107,0.098
279,13.38514,52.460987,303975,0.078
280,13.284266,52.589848,244536,0.432
281,13.286094,52.587627,336660,0.186
282,13.310525,52.512085,465765,0.327
283,13.457399,52.53166,178939,0.72
284,13.307578,52.47285,55398,0.138
285,13.314644,52.474586,198219,0.198
286,13.314987,52.472706,8336,0.759
287,13.540365,52.4196,307893,0.99
288,13.527741,52.424713,293453,0.211
289,13.509129,52.45666,498165,0.142
290,13.575916,52.44729,188625,0.393
291,13.297563,52.486668,228846,0.389
292,13.578739,52.458233,140522,0
293,13.283506,52.57549,323578,0.256
294,13.497744,52.547123,173224,0.901
295,13.496276,52.518063,141349,0.076
296,13.286708,52.585903,186085,0.263
297,13.291717,52.506927,4204,0.771
298,13.288548,52.510666,372984,0.194
299,13.434344,52.51291,14693,0.624
300,13.496083,52.54581,333496,0.75
301,13.370257,52.42156,96219,0.843
302,13.50738,52.499527,343341,0.642
303,13.389148,52.549976,141708,0.15
304,13.384973,52.550125,84072,0.504
305,13.385563,52.550343,179723,0.077
306,13.3684025,52.41936,96227,0.604
307,13.294205,52.510555,335660,0.811
308,13.395596,52.386814,499390,0.319
309,13.399737,52.38689,445951,0.522
310,13.37015,52.54203,93110,0.005
311,13.405309,52.386806,1160,0.715
312,13.404185,52.38654,1161,0.565
313,13.455428,52.54953,220270,0.571
314,13.456251,52.54926,195243,0.49
315,13.450706,52.54873,154653,0.264
316,13.216187,52.438534,538,1
317,13.343722,52.43528,356052,0.399
318,13.403349,52.52457,43292,0.499
319,13.353572,52.549294,456947,0
320,13.424447,52.487686,382953,0
321,13.41426,52.550194,392825,0.424
322,13.453626,52.429256,202812,1
323,13.457079,52.42958,390031,0.252
324,13.218524,52.537975,185316,0.004
325,13.409264,52.387024,200195,0.58
326,13.406699,52.386517,1159,0.645
327,13.440375,52.49906,17573,0.964
328,13.479395,52.52,336508,0.467
329,13.478792,52.516163,482695,0.198
330,13.447825,52.43739,201943,0.675
331,13.384243,52.55057,267113,0.26
332,13.517957,52.51362,361027,0.564
333,13.519841,52.51376,334796,0.746
334,13.288769,52.633114,346621,0.274
335,13.466712,52.524548,112321,0.794
336,13.398644,52.53419,177345,0.579
337,13.3208885,52.41239,248741,0.274
338,13.288994,52.476704,1003,0.452
339,13.495741,52.506145,18193,0.657
340,13.503462,52.509865,147073,0.141
341,13.392341,52.55396,12088,0.145
342,13.535393,52.511055,203355,1
343,13.335205,52.526443,9097,0.138
344,13.3357315,52.52653,92540,0.188
345,13.336551,52.52683,177932,0.486
346,13.34293,52.50349,302144,0.597
347,13.322868,52.518356,323395,0.407
348,13.384977,52.45831,264298,0.19
349,13.3363,52.52355,155463,0.256
350,13.303802,52.448837,300711,0.48
351,13.440337,52.541042,355314,0.499
352,13.265931,52.41447,279798,0.656
353,13.241952,52.423412,28085,0.181
354,13.155643,52.532547,454698,0.05
355,13.350374,52.541847,481598,0.804
356,13.324152,52.460796,136020,0.848
357,13.304823,52.51309,7061,0.785
358,13.304355,52.517204,7041,0.882
359,13.304525,52.51617,497726,0.42
360,13.283763,52.47899,428110,0.364
361,13.282109,52.478054,382126,0.948
362,13.293348,52.474693,236842,0.586
363,13.301827,52.508076,6682,0.672
364,13.336395,52.50215,325021,0.811
365,13.3013735,52.4886,501934,0.836
366,13.279959,52.537914,207239,0.006
367,13.265369,52.512318,85403,0.568
368,13.267973,52.511726,437510,0.601
369,13.269848,52.51064,437515,0.399
370,13.257325,52.51915,437526,0.146
371,13.26099,52.515877,340638,0.114
372,13.261601,52.516064,322027,0.782
373,13.253055,52.44972,345600,0.429
374,13.511975,52.50418,183478,0.5
375,13.360923,52.49779,14903,0.587
376,13.301616,52.58365,123106,0.217
377,13.54354,52.523624,38802,0.789
378,13.462234,52.523952,443546,0.571
379,13.27877,52.518543,155324,0.907
380,13.201352,52.548065,207392,0.639
381,13.307514,52.504513,278274,0.02
382,13.313691,52.62086,130628,0.326
383,13.321668,52.45762,261267,0.127
384,13.32995,52.458015,18808,0.88
385,13.332037,52.468117,227433,0.757
386,13.333571,52.4702,227441,0.578
387,13.507214,52.404125,347093,0.632
388,13.492041,52.420105,140976,0.755
389,13.477913,52.42927,348456,1
390,13.338673,52.48662,18944,0.303
391,13.29913,52.472992,236829,0.661
392,13.322474,52.48882,359717,0.404
393,13.324055,52.494064,2064,0.964
394,13.323249,52.49016,359715,0.715
395,13.297585,52.51037,4762,0.69
396,13.284206,52.506317,330237,0.201
397,13.36672,52.4932,206802,0.724
398,13.363773,52.50055,14911,0.477
399,13.462995,52.425465,222811,0.771
400,13.478518,52.526802,353831,0.474
401,13.363795,52.49945,224651,0.263
402,13.359823,52.43351,393314,0.132
403,13.398,52.58025,283287,0.729
404,13.403758,52.58064,21524,0.488
405,13.401433,52.589417,386104,0.938
406,13.411002,52.57149,492991,0.014
407,13.574956,52.487003,139335,0.836
408,13.397257,52.56571,343151,0.602
409,13.259141,52.432144,166088,0.446
410,13.409399,52.490433,223668,0.401
411,13.548004,52.43823,54528,0.559
412,13.543222,52.436016,308892,0.535
413,13.331817,52.50666,486648,0
414,13.35953,52.574368,392,0.153
415,13.359446,52.573666,84114,0.521
416,13.412991,52.5029,13702,0.677
417,13.41584,52.490845,465283,0.89
418,13.413694,52.491985,251526,0.524
419,13.431794,52.5544,138929,0.432
420,13.340083,52.49791,291955,0.717
421,13.322366,52.458885,136024,0.954
422,13.421815,52.535946,36685,0.865
423,13.411605,52.540585,135479,0.288
424,13.361394,52.568817,15652,0.729
425,13.413582,52.54097,488060,0.064
426,13.340929,52.450954,429211,0.284
427,13.525604,52.567837,32618,0.006
428,13.507473,52.564922,148288,0.291
429,13.51773,52.56723,148239,0.265
430,13.350933,52.532356,477771,0.72
431,13.328795,52.46493,227427,0.029
432,13.296008,52.4429,300383,0.556
433,13.342953,52.518738,227267,0.301
434,13.402602,52.569458,485839,0.69
435,13.326653,52.464508,204351,0.023
436,13.419655,52.499264,502860,0.489
437,13.587377,52.44137,331808,0
438,13.402242,52.411995,230696,0.932
439,13.363002,52.550606,11918,0.662
440,13.286366,52.535385,439670,0.379
441,13.559261,52.555546,348011,0.416
442,13.455145,52.51214,251056,0.039
443,13.334293,52.527073,436435,0.616
444,13.498288,52.51367,94625,0.676
445,13.384792,52.498116,288683,0.811
446,13.29749,52.511757,5785,0.214
447,13.443452,52.484367,313947,0.085
448,13.215357,52.439114,485504,0.711
449,13.390381,52.512264,89242,0.779
450,13.490386,52.617188,243442,0.212
451,13.473177,52.51366,422478,0.178
452,13.345228,52.437267,107204,0.409
453,13.469034,52.50754,255860,0.415
454,13.158107,52.419125,183244,0.563
455,13.436734,52.41801,244467,0.49
456,13.430627,52.49763,383352,0.046
457,13.294401,52.474354,236841,0.267
458,13.496209,52.535805,330255,0.3
459,13.1632,52.55122,403478,0.47
460,13.177198,52.54755,29007,0.672
461,13.26085,52.43628,470407,0.711
462,13.261766,52.41079,46842,0.11
463,13.183621,52.54395,74438,0.458
464,13.260429,52.434418,32051,0.726
465,13.261592,52.437534,183019,0.471
466,13.40834,52.501083,13679,0.624
467,13.538617,52.527714,136904,1
468,13.259369,52.43501,349866,0.43
469,13.31956,52.45663,149665,0.919
470,13.427761,52.490353,390309,0.129
471,13.289673,52.633926,353719,0.158
472,13.2869835,52.632576,50396,0.604
473,13.441613,52.544033,14177,0.61
474,13.279167,52.57744,281816,1
475,13.29565,52.513626,142435,0.571
476,13.380108,52.438824,246341,0.132
477,13.357231,52.40751,125527,0.358
478,13.282652,52.510303,207600,0.434
479,13.28151,52.51021,467837,0.058
480,13.524325,52.478733,246984,0.706
481,13.345634,52.554325,261687,0.966
482,13.601401,52.48053,57238,0.106
483,13.353039,52.55012,383891,0.278
484,13.409243,52.504333,345731,0.149
485,13.510316,52.45701,246681,0.717
486,13.450856,52.515865,258550,0.807
487,13.284119,52.588795,170906,0.63
488,13.2826805,52.589546,24947,0.623
489,13.286848,52.59026,367354,0.527
490,13.439892,52.523754,14468,0.754
491,13.319803,52.471447,88429,0.29
492,13.393868,52.540543,468295,0.41
493,13.385437,52.53797,332288,0.336
494,13.430551,52.46929,313471,0.083
495,13.461857,52.51583,381549,0.731
496,13.386902,52.492043,5778,0.444
497,13.577043,52.455303,236936,0.73
498,13.575867,52.454487,37839,0.717
499,13.574655,52.44494,93374,0.927
500,13.584405,52.4287,100937,0.642
501,13.521442,52.49721,56175,0.319
502,13.432276,52.50189,346737,0.915
503,13.241413,52.543087,139636,0.843
504,13.238887,52.542496,136486,0.767
505,13.354595,52.59834,282886,0.211
506,13.422162,52.53309,412016,0.124
507,13.218948,52.557697,31731,0.056
508,13.521197,52.451904,272786,1
509,13.4259405,52.52969,13992,0.088
510,13.361357,52.494953,227240,0.64
511,13.349704,52.482403,265299,0.581
512,13.388866,52.436928,139939,0.429
513,13.267269,52.53692,170328,0.737
514,13.268403,52.536907,139597,0.264
515,13.3390665,52.488598,165061,0.547
516,13.516995,52.510204,468742,0.548
517,13.371512,52.565094,434023,0.655
518,13.169593,52.517967,165226,0.258
519,13.431785,52.53216,14027,0.772
520,13.506426,52.493484,338205,0.644
521,13.558187,52.50593,185149,0.736
522,13.451441,52.50901,223835,0.138
523,13.344029,52.48917,7676,0.629
524,13.428524,52.48462,132806,0.269
525,13.524681,52.48264,23015,0.333
526,13.387586,52.52607,460239,0.84
527,13.410082,52.529015,454613,1
528,13.386311,52.442272,280052,0.84
529,13.372337,52.446033,330059,0.263
530,13.389937,52.434963,139935,0.876
531,13.329341,52.446026,191256,0.939
532,13.269836,52.451317,423856,0.316
533,13.329406,52.60973,131768,0.854
534,13.40246,52.58112,266269,0.419
535,13.31376,52.42317,20317,0.444
536,13.303666,52.42689,299359,0.65
537,13.286671,52.433014,336428,0.481
538,13.420307,52.49888,329579,0.141
539,13.428273,52.588184,236376,0.167
540,13.305962,52.417435,50879,0.643
541,13.302394,52.438114,14615,0.116
542,13.460137,52.493942,49823,0.846
543,13.333361,52.595203,171974,0.477
544,13.456498,52.43674,287638,0.141
545,13.270769,52.43851,485058,1
546,13.356214,52.548347,179667,0.792
547,13.451148,52.51019,252248,0.69
548,13.310494,52.465286,5731,0.796
549,13.573365,52.568245,54019,0.419
550,13.323706,52.47181,428013,0.197
551,13.391475,52.39813,152883,1
552,13.471418,52.528603,395108,0.54
553,13.194998,52.430008,737,0.806
554,13.563612,52.570854,229421,0.017
555,13.496804,52.41844,362712,0.64
556,13.374791,52.507393,61038,0.856
557,13.459194,52.56031,433710,0.123
558,13.26403,52.487072,57073,0.196
559,13.423898,52.549557,55635,0.887
560,13.391087,52.563602,15399,0.393
561,13.43824,52.532715,14038,0.716
562,13.385819,52.4655,434692,0.564
563,13.411882,52.567707,294728,0
564,13.324851,52.49877,1024,0.56
565,13.324214,52.495785,353449,0.668
566,13.319845,52.496765,4131,0.572
567,13.330531,52.500023,470534,0.238
568,13.323451,52.497047,4150,0.522
569,13.308934,52.51641,459676,0.516
570,13.493413,52.63603,80121,0.691
571,13.392529,52.490612,187899,0.099
572,13.289877,52.51887,480887,0.892
573,13.290918,52.515255,7519,0.055
574,13.431815,52.467407,361080,0.704
575,13.448408,52.485413,77262,0.962
576,13.420451,52.49514,136176,0.129
577,13.483819,52.425716,135164,0.44
