POIId,Longitude,Latitude,EdgeId,Distance_from_start_node,Type
,13.281846,52.58931,24947,0.119,
,13.4153595,52.547096,36767,0.419,
,13.414734,52.54769,225610,0.701,
,13.412531,52.546215,319193,0.438,
,13.399735,52.532925,58776,0.928,
,13.377091,52.50922,499880,0.719,
,13.379782,52.50956,448900,0.313,
,13.388252,52.522587,322863,0.31,
,13.379078,52.600395,157332,0.527,
,13.650709,52.389874,224883,0.141,
,13.338721,52.45664,153356,0.755,
,13.376366,52.59792,158684,0.419,
,13.467004,52.505527,339463,0.146,
,13.303664,52.499935,461272,0.281,
,13.421561,52.434116,27663,0.58,
,13.219129,52.537582,323692,0,
,13.721356,52.438904,140332,0.134,
,13.441051,52.51768,413144,0.797,
,13.295969,52.51579,7521,0.613,
,13.428397,52.56836,209808,0.318,
,13.326209,52.50954,425279,0.922,
,13.588544,52.51226,193321,0.768,
,13.320303,52.485867,981,0.798,
,13.560487,52.505802,185151,0.849,
,13.433804,52.490086,241386,0.627,
,13.442478,52.49849,335782,0.098,
,13.421225,52.496284,83991,0.459,
,13.430237,52.498276,329590,0.548,
,13.42554,52.499393,352639,0.509,
,13.442094,52.500748,279323,0.285,
,13.266864,52.59243,62773,0.546,
,13.373032,52.5074,43781,0.269,
,13.579442,52.49764,81731,0.835,
,13.721755,52.41926,59508,0.9,
,13.417805,52.54297,320413,0.541,
,13.523337,52.49686,450592,0.753,
,13.421242,52.545376,43303,0.917,
,13.5788555,52.55069,463437,0.705,
,13.342083,52.51736,469052,1,
,13.293873,52.443745,64202,0.875,
,13.305892,52.50872,192570,0.724,
,13.361321,52.48628,398457,1,
,13.359248,52.486572,259305,0.621,
,13.346084,52.48471,8261,0.408,
,13.465159,52.493195,338823,0.49,
,13.464548,52.493473,338824,0.551,
,13.46364,52.49383,338827,0.22,
,13.463317,52.493958,338828,0.273,
,13.422844,52.54121,296964,0.391,
,13.42625,52.543224,256961,0,
,13.342529,52.502277,502468,0.103,
,13.324578,52.460293,301731,0.144,
,13.496194,52.51202,311640,0.863,
,13.49654,52.51203,311640,0.366,
,13.497071,52.512054,311639,0.536,
,13.497034,52.511738,177989,0.15,
,13.498342,52.512085,100792,0.88,
,13.498464,52.512077,100792,0.646,
,13.291027,52.497425,92819,0.772,
,13.415689,52.43277,19425,0.706,
,13.324536,52.511475,450152,0.805,
,13.315569,52.447353,320496,0.264,
,13.492295,52.637207,244382,0.7,
,13.492224,52.63627,243451,0.637,
,13.39699,52.52718,13179,0.119,
,13.377115,52.50905,499880,0.278,
,13.281837,52.448,368883,0,
,13.454428,52.503086,441932,0.889,
,13.385259,52.466187,502476,0.777,
,13.455332,52.51802,17276,0.353,
,13.326275,52.52191,2571,0.616,
,13.321868,52.52115,2562,0.677,
,13.296536,52.529556,21267,0.479,
,13.457029,52.59301,347517,0.568,
,13.48592,52.503727,332540,0.948,
,13.537391,52.43146,280259,0.042,
,13.410257,52.51905,421645,0.45,
,13.410824,52.519432,424864,1,
,13.404914,52.52041,458473,0.079,
,13.325822,52.514526,322800,0.65,
,13.431585,52.50153,346738,0.892,
,13.548347,52.46537,41839,0.548,
,13.546913,52.464096,306071,0.117,
,13.429955,52.499157,166885,0.583,
,13.42956,52.500652,346780,0.52,
,13.309473,52.500507,491607,0.867,
,13.455555,52.47383,390780,0.531,
,13.441726,52.46847,398833,0.123,
,13.393672,52.512486,70721,0.311,
,13.425517,52.478737,189572,0.221,
,13.425823,52.47918,189562,0.427,
,13.425811,52.47921,189562,0.701,
,13.425557,52.480625,128318,0.05,
,13.435696,52.4808,226047,0.778,
,13.436925,52.47943,313830,0.835,
,13.442952,52.470657,484629,0.92,
,13.206396,52.43081,898,0.5,
,13.384175,52.45904,327721,0.296,
,13.383566,52.45676,352391,0.531,
,13.38353,52.456184,352392,0.85,
,13.384467,52.454678,458201,1,
,13.384834,52.452587,178202,0.232,
,13.384915,52.44845,305025,0.031,
,13.384905,52.448536,427491,0.123,
,13.385223,52.44723,137741,0.635,
,13.386528,52.443504,192942,0.143,
,13.386628,52.443398,192942,0.253,
,13.278337,52.448837,300031,0.241,
,13.459371,52.549892,433600,0.941,
,13.388676,52.519745,170075,0.04,
,13.21459,52.439125,166516,0.429,
,13.206474,52.53808,30709,0.309,
,13.206821,52.538048,30709,0.632,
,13.438123,52.45199,471516,0.05,
,13.432326,52.44396,313208,0.726,
,13.336993,52.50458,460499,1,
,13.447477,52.468918,146550,0.412,
,13.3234415,52.523296,168236,0.942,
,13.32219,52.521225,2564,0.573,
,13.44777,52.459156,53670,0.388,
,13.193259,52.524174,12914,0.13,
,13.470774,52.53103,496201,0.217,
,13.441037,52.501095,17558,0.311,
,13.438579,52.477196,192841,0.15,
,13.424517,52.486694,504188,0.84,
,13.413066,52.547825,182160,0.85,
,13.577266,52.549736,333691,0.71,
,13.191246,52.53586,74811,1,
,13.275885,52.448345,339293,0.008,
,13.486652,52.42476,57951,0.127,
,13.412466,52.56305,272439,0.047,
,13.412097,52.565754,272433,0.42,
,13.411808,52.56805,329201,0.652,
,13.405171,52.570114,492988,0.485,
,13.435294,52.49104,17706,0.933,
,13.188814,52.536957,145274,0.533,
,13.457143,52.442356,140128,0.143,
,13.436555,52.467075,131668,0.519,
,13.419711,52.46008,441828,0.943,
,13.409476,52.455128,315932,0.437,
,13.387669,52.440483,360976,0.696,
,13.451696,52.52623,36387,0.025,
,13.4246645,52.474503,215329,0.607,
