POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
238,13.445258,52.47939,313859,0.059
239,13.443042,52.482437,162307,0.942
240,13.444074,52.481647,162308,0.827
241,13.419321,52.545475,131834,0.399
242,13.371158,52.522587,1850,0.754
243,13.453875,52.497406,482746,1
244,13.408115,52.549137,137062,0.14
245,13.319831,52.459446,317851,0.146
246,13.43827,52.497417,251416,0.906
247,13.401794,52.52238,124375,1
248,13.397979,52.5113,467231,0.842
249,13.318141,52.46125,121715,0.025
250,13.409291,52.538517,177207,0.912
251,13.409927,52.539036,43297,0.565
252,13.432252,52.518463,413152,0.451
253,13.461824,52.51686,271229,0.373
254,13.4259405,52.492336,17668,0.097
255,13.469766,52.51153,52708,0.33
256,13.475251,52.51205,166120,0.011
257,13.469184,52.5123,276621,0.516
258,13.4619,52.517025,271229,0.396
259,13.438946,52.460636,30808,0.456
260,13.422827,52.541954,296965,0.339
261,13.432293,52.469975,313510,0.942
262,13.4663925,52.512585,276619,0.204
263,13.388746,52.49191,312861,0.389
264,13.4327,52.476124,313764,0.349
265,13.423336,52.479965,99754,0.923
266,13.423404,52.479733,99754,0.903
267,13.454361,52.48843,30984,0.261
268,13.454046,52.488632,30984,0.101
269,13.427917,52.481293,16890,0.111
270,13.422564,52.539673,320892,0.968
271,13.514851,52.505814,54879,0.132
272,13.420851,52.542355,320403,0.812
273,13.438293,52.543663,250813,0.408
274,13.275409,52.536385,439971,0.455
275,13.283418,52.58704,24978,0.651
276,13.397641,52.529583,413820,0.215
277,13.354945,52.541943,9237,0.655
278,13.3567095,52.541992,9239,0.836
279,13.278783,52.588387,39963,0.692
280,13.296379,52.50136,2228,0.994
281,13.517537,52.50597,370167,0.289
282,13.388448,52.52161,13221,0.743
283,13.383715,52.555588,320850,0.606
284,13.513675,52.46204,245614,0.88
285,13.512051,52.4618,322914,0.875
286,13.330639,52.521255,6659,0.121
287,13.512081,52.50712,361376,0.184
288,13.320798,52.481987,4533,0.331
289,13.429673,52.49464,6993,0.135
290,13.443511,52.500523,456907,0.288
291,13.416543,52.546944,225615,0.119
292,13.417401,52.546642,225615,0.575
293,13.415338,52.547813,36763,0.159
294,13.415517,52.54422,341989,0.71
295,13.416484,52.54376,320416,0.269
296,13.374761,52.542236,84000,0.452
297,13.41234,52.520668,396048,0
298,13.368493,52.545013,11614,0.509
299,13.425895,52.49122,7003,0.943
300,13.445585,52.55031,486526,0.745
301,13.20262,52.54283,160549,0.954
302,13.35246,52.494987,425182,0.59
303,13.420516,52.5442,36760,0.448
304,13.420741,52.544422,36760,0.334
305,13.4893055,52.54213,179247,0.103
306,13.419618,52.54525,131834,0.355
307,13.419924,52.544033,36760,0.646
308,13.353807,52.496834,307137,0.15
309,13.494476,52.54465,106819,0.132
310,13.42507,52.541687,35061,0.209
311,13.491429,52.55806,203493,0.336
312,13.41589,52.531384,343126,0.074
313,13.411776,52.553486,256897,0.842
314,13.505389,52.440216,100447,0.778
315,13.423932,52.476875,210981,0.81
316,13.271926,52.538017,440057,1
317,13.27279,52.538933,344571,0.451
318,13.410507,52.386215,321278,0.695
319,13.40094,52.414257,361669,0.193
320,13.402035,52.41364,315149,0.426
321,13.415019,52.541634,320504,0.801
322,13.417443,52.500057,327226,0.851
323,13.328515,52.52845,356708,0.738
324,13.396675,52.536972,11748,0.91
325,13.439999,52.48147,313623,0.501
326,13.445961,52.43746,466618,0.543
327,13.456043,52.5091,65257,0.349
328,13.40713,52.585915,22780,0.668
329,13.427538,52.482254,141888,0.528
