POIId,Longitude,Latitude,EdgeId,Distance_from_start_node
91,13.333222,52.46914,88451,0.834
92,13.29717,52.442947,14577,0.371
93,13.296772,52.44319,200064,0.781
94,13.296367,52.44266,300383,0.34
95,13.340584,52.488205,70437,0.805
96,13.183614,52.548004,444316,0.41
97,13.41449,52.551506,295434,0.059
98,13.514908,52.505424,360593,0.406
99,13.389015,52.51188,416930,0
100,13.413817,52.55228,12572,0.932
101,13.343306,52.47897,3038,0.353
102,13.3121,52.500786,290994,0.85
103,13.326874,52.503056,2811,0.476
104,13.295513,52.498104,149132,0.954
105,13.290664,52.475548,429048,0.225
106,13.413098,52.548145,182160,0.475
107,13.445735,52.52547,445899,0.868
108,13.322882,52.458866,187584,0.262
109,13.327989,52.4651,237087,0.389
110,13.311663,52.466976,292343,0.479
111,13.334998,52.50418,460506,0.83
112,13.2940235,52.456898,240228,0.352
113,13.354589,52.484943,265307,0.793
114,13.355182,52.485325,265308,0.231
115,13.356744,52.48611,494560,0.212
116,13.357086,52.486263,494567,0.051
117,13.284296,52.589325,246441,0.365
118,13.413071,52.540802,252219,0.39
119,13.535718,52.43226,293341,0.279
120,13.420569,52.524307,423036,0.472
121,13.360684,52.545273,9288,0.612
122,13.410995,52.521713,395969,0.849
123,13.3283825,52.428555,500886,1
124,13.327008,52.428165,70288,0.658
125,13.32762,52.42784,73452,0.67
126,13.440148,52.51773,413146,0.263
127,13.363379,52.413067,140027,0
128,13.420093,52.49888,329579,0.032
129,13.441676,52.50088,464208,0.694
130,13.382769,52.524117,11429,0.468
131,13.302158,52.499878,120317,0.935
132,13.383088,52.551853,179731,0.048
133,13.381662,52.552822,468633,1
134,13.426134,52.478523,340581,0.081
135,13.425798,52.477936,189574,0.561
136,13.424912,52.487076,457965,0.579
137,13.4312315,52.5014,225149,0.745
138,13.320936,52.4862,39829,0.079
139,13.355135,52.596912,282885,0.62
140,13.522386,52.497444,163903,0.605
141,13.415696,52.523228,446145,0.104
142,13.4811735,52.5246,112025,0.139
143,13.371025,52.539833,457449,0.579
144,13.306173,52.507614,5503,0.263
145,13.297263,52.442116,137951,0.427
146,13.283215,52.58968,250552,0.321
147,13.259624,52.43499,349866,0.675
148,13.345598,52.526432,493105,0.953
149,13.419815,52.542133,320408,0.14
150,13.340121,52.526558,3890,0.867
151,13.60416,52.537315,208872,0.211
152,13.437998,52.479153,236640,0
153,13.339868,52.450684,444529,0.737
154,13.340765,52.450546,300865,0.421
155,13.330302,52.527058,3252,0.748
156,13.340647,52.526546,3890,0.498
157,13.499794,52.509037,18231,0.84
158,13.319289,52.501816,149219,0.259
159,13.521613,52.513756,365040,0.77
160,13.288984,52.510204,4919,0.91
161,13.319611,52.514015,279575,1
162,13.32143,52.511833,458365,0.326
163,13.332528,52.50714,478565,0.785
164,13.368614,52.540543,209444,0.212
165,13.377798,52.508892,383625,0.41
166,13.38971,52.51019,495262,0.437
167,13.30212,52.58449,15833,0.712
168,13.289872,52.49734,88232,1
169,13.601842,52.536293,172351,0.636
170,13.59077,52.50458,101435,0.687
171,13.505794,52.445583,292219,0.941
172,13.297469,52.44267,14577,0.621
173,13.385798,52.463795,136684,0.96
174,13.3050995,52.511223,308545,0.603
175,13.305307,52.512028,142919,0.274
176,13.30585,52.510136,5846,0.052
177,13.30579,52.509056,5500,0.708
178,13.335827,52.524693,9132,0.717
179,13.496032,52.505592,496143,1
180,13.348902,52.507572,310168,0.539
181,13.273693,52.535484,132107,0.153
182,13.275636,52.535873,162006,0.279
183,13.381236,52.55269,179736,0.311
184,13.382275,52.552498,468639,1
185,13.281292,52.589397,39960,0.199
186,13.423728,52.486843,503714,0
187,13.402883,52.3865,1164,0.024
188,13.401629,52.38651,1164,0.863
189,13.399487,52.386864,445951,0.403
190,13.42621,52.5432,256960,0.639
191,13.386532,52.54977,179721,0.817
192,13.408317,52.52873,424500,0.26
193,13.385947,52.466305,353424,0
194,13.249072,52.610275,182846,0.715
195,13.653092,52.374073,314144,0.294
196,13.203313,52.537457,29703,0.279
197,13.204219,52.53806,74525,0.173
198,13.430804,52.46896,313471,0.176
199,13.2737665,52.537052,10512,0.169
200,13.625563,52.455273,403952,0.625
201,13.203084,52.537674,28527,0.44
202,13.4338,52.481625,342066,0.281
203,13.434832,52.480907,344778,0.959
204,13.384535,52.460583,327719,0.168
205,13.385903,52.446503,129772,0.603
206,13.385699,52.444855,129759,0.421
207,13.204433,52.5364,30704,0.136
208,13.291753,52.49704,92822,0.851
209,13.437769,52.45393,30811,0.829
210,13.384698,52.484768,495916,0.76
211,13.441312,52.470203,484631,0.726
212,13.436133,52.480476,230495,0.62
213,13.203956,52.537193,103877,0.656
214,13.306608,52.506176,500787,0
215,13.404073,52.580772,21524,0.547
216,13.329613,52.56282,220736,0.779
217,13.288039,52.45289,329296,0.242
218,13.425376,52.48833,17676,0.278
219,13.4115095,52.57161,421260,0.147
220,13.603659,52.536896,208870,0.689
221,13.45685,52.43117,202795,1
222,13.455818,52.43072,301242,0.748
223,13.457008,52.49086,259317,0.863
224,13.302386,52.426697,350859,0.771
225,13.310348,52.431694,5740,0.481
226,13.557617,52.50635,444972,0
227,13.303546,52.525787,2977,0.993
228,13.30943,52.51681,415277,0.859
229,13.320851,52.45733,136028,0.696
230,13.54677,52.543793,348531,0.1
231,13.297025,52.510647,2146,0.334
232,13.298057,52.510773,7354,0.155
233,13.309642,52.546955,173767,0.99
234,13.2803,52.47679,250593,0.652
235,13.474653,52.513916,243801,0.455
236,13.442915,52.54329,174325,0.441
237,13.281055,52.477474,137123,0.791
238,13.578795,52.45842,140526,0.715
239,13.285104,52.587887,170907,0.7
240,13.285736,52.58794,336660,0.043
241,13.384431,52.458015,264298,0.001
242,13.44067,52.47336,164706,0.153
243,13.477137,52.514,482691,0.432
244,13.476678,52.513683,500504,0.025
245,13.45808,52.49103,189378,0.708
246,13.314547,52.51232,258487,0.543
247,13.325661,52.50608,3134,0.472
248,13.418362,52.536377,361710,0.788
249,13.408335,52.53694,247108,0.827
250,13.5922365,52.52932,479143,0.299
251,13.510354,52.456608,235185,0.781
252,13.292793,52.483345,6602,0.59
253,13.406355,52.53506,467942,0.017
254,13.232413,52.43711,472685,0.36
255,13.503728,52.548527,356377,0.562
256,13.504385,52.548237,273611,0.39
257,13.489889,52.542458,48074,0.413
258,13.297031,52.49785,149139,0.586
259,13.337831,52.500305,302125,0.796
260,13.488827,52.467304,52597,0.239
261,13.369817,52.539944,457447,0.555
262,13.389365,52.512573,353347,0.521
263,13.271195,52.53685,488728,0.617
264,13.263629,52.537495,274123,0.364
265,13.4781885,52.52706,353831,0.804
266,13.457897,52.549572,195245,0.651
267,13.449884,52.548023,444369,0.736
268,13.451467,52.548206,132895,0.846
269,13.451809,52.548725,272264,0.7
270,13.452578,52.54888,100910,0.181
271,13.454836,52.54883,195239,0.687
272,13.344262,52.435604,70262,0.465
273,13.344504,52.43582,24780,0.36
274,13.327892,52.563442,427402,0.178
275,13.452334,52.518623,408892,1
276,13.403918,52.386814,1161,0.737
277,13.371448,52.42244,329129,1
278,13.358748,52.573826,291544,0.212
279,13.304985,52.508606,192566,0.059
280,13.495925,52.634544,491514,0.572
281,13.411612,52.519733,355997,0
282,13.59242,52.546024,480018,0.618
283,13.455726,52.529564,198769,0.143
284,13.304989,52.508583,192566,0.101
285,13.288935,52.476395,1003,0.625
286,13.194005,52.43095,382320,0.93
287,13.38869,52.54938,201911,0.777
288,13.388815,52.54993,141707,0.143
289,13.470039,52.50623,8244,0.222
290,13.385296,52.464127,124734,0.421
291,13.4535055,52.42968,194813,0.052
292,13.455882,52.429863,269518,0.25
293,13.457231,52.429977,269514,0.377
294,13.289254,52.489147,4054,0.835
295,13.291062,52.47504,2104,0.841
296,13.294904,52.474266,950,0.849
297,13.15788,52.532597,418698,0.085
298,13.267884,52.53692,139598,0.482
299,13.400621,52.414722,20160,0.203
300,13.400506,52.415043,139910,0.809
301,13.2933235,52.4743,267439,0.574
302,13.265599,52.513138,437508,0.795
303,13.266881,52.512924,437779,0.646
304,13.349221,52.481606,470583,0.652
305,13.258651,52.508274,470992,0.9
306,13.266053,52.509243,39003,0.162
307,13.392559,52.543232,171632,0.557
308,13.421688,52.53939,438842,0.58
309,13.486328,52.618565,262245,0.293
310,13.578475,52.45725,167543,0.422
311,13.405567,52.50992,13620,0.678
312,13.334806,52.47137,8502,0.332
313,13.354032,52.413113,133568,0.784
314,13.405171,52.52829,240813,0.664
315,13.422076,52.535007,88508,0.35
316,13.501074,52.566147,296411,0.315
317,13.503875,52.56355,23977,0.299
318,13.491402,52.420887,238856,0.843
319,13.49099,52.421005,323678,0.596
320,13.497743,52.419186,305646,0.507
321,13.497187,52.41671,305409,0.349
322,13.496902,52.41848,316587,0.838
323,13.331507,52.485317,344856,0.499
324,13.340201,52.489796,465889,0.505
325,13.322539,52.489143,359716,0.817
326,13.284181,52.50548,6625,0.252
327,13.686134,52.442215,235354,0.237
328,13.314133,52.4744,8519,0.642
329,13.377728,52.549328,139429,0.206
330,13.369822,52.52511,393830,0
331,13.45502,52.473217,146532,0.296
332,13.439961,52.475113,413688,0.481
333,13.38784,52.4938,502782,0.767
334,13.44274,52.467873,53493,0.002
335,13.258776,52.432266,504145,0.919
336,13.407797,52.48966,223142,0.657
337,13.270522,52.502026,487885,0.413
338,13.403531,52.386818,1161,0.987
339,13.4142,52.55407,175214,0.011
340,13.289428,52.63293,294273,0.775
341,13.333721,52.593475,171982,0.147
342,13.510723,52.456463,325993,0.312
343,13.42067,52.53245,13950,0.271
344,13.469095,52.506844,8246,0.386
345,13.519833,52.5663,32493,0.85
346,13.287017,52.632423,50396,0.498
347,13.422458,52.500328,149796,0.317
348,13.431688,52.497295,131709,0.088
349,13.415382,52.54366,177258,0.94
350,13.393944,52.48928,410000,0.044
351,13.393332,52.48904,11101,0.529
352,13.301975,52.47346,88251,0.883
353,13.402938,52.569485,485838,0.555
